,AC_POWER
69121,0.0
69120,0.0
69118,0.0
69117,0.0
69116,0.0
69115,0.0
69114,0.0
69113,0.0
69112,0.0
69111,0.0
69110,0.0
69109,0.0
69108,0.0
69107,0.0
69106,0.0
69105,0.0
69104,0.0
69125,0.0
336,0.0
69124,0.0
334,0.0
337,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
335,0.0
324,0.0
325,0.0
323,0.0
327,0.0
328,0.0
329,0.0
331,0.0
332,0.0
333,0.0
326,0.0
353,0.0
354,0.0
349,0.0
355,0.0
356,0.0
352,0.0
351,0.0
350,0.0
348,0.0
341,0.0
346,0.0
345,0.0
344,0.0
343,0.0
342,0.0
357,0.0
339,0.0
340,0.0
347,0.0
358,0.0
338,0.0
69145,0.0
69147,0.0
69146,0.0
69144,0.0
69143,0.0
69142,0.0
69141,0.0
69139,0.0
69138,0.0
69137,0.0
69136,0.0
69140,0.0
69134,0.0
69126,0.0
69135,0.0
69128,0.0
69129,0.0
69127,0.0
69131,0.0
69132,0.0
69133,0.0
69130,0.0
69157,0.0
69164,0.0
69163,0.0
69162,0.0
69161,0.0
69160,0.0
69159,0.0
69158,0.0
69156,0.0
368,0.0
69154,0.0
69153,0.0
69152,0.0
69151,0.0
69150,0.0
69149,0.0
69148,0.0
69165,0.0
69155,0.0
369,0.0
69166,0.0
69168,0.0
377,0.0
376,0.0
375,0.0
374,0.0
373,0.0
372,0.0
371,0.0
370,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
378,0.0
379,0.0
380,0.0
69169,0.0
69167,0.0
381,0.0
399,0.0
398,0.0
397,0.0
396,0.0
395,0.0
393,0.0
392,0.0
391,0.0
389,0.0
388,0.0
387,0.0
386,0.0
385,0.0
384,0.0
383,0.0
382,0.0
390,0.0
394,0.0
401,0.0
69181,0.0
69171,0.0
69172,0.0
69173,0.0
69174,0.0
69175,0.0
69176,0.0
69177,0.0
69178,0.0
69170,0.0
69179,0.0
69182,0.0
69183,0.0
69184,0.0
69185,0.0
69186,0.0
69187,0.0
69188,0.0
69189,0.0
69180,0.0
69190,0.0
69191,0.0
400,0.0
402,0.0
69195,0.0
69211,0.0
69210,0.0
69209,0.0
69208,0.0
69207,0.0
69206,0.0
69205,0.0
69204,0.0
69203,0.0
69194,0.0
69202,0.0
69201,0.0
69200,0.0
69199,0.0
69198,0.0
69197,0.0
69196,0.0
69192,0.0
69193,0.0
403,0.0
424,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
69213,0.0
413,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
414,0.0
69212,0.0
69224,0.0
69215,0.0
442,0.0
441,0.0
440,0.0
439,0.0
438,0.0
437,0.0
